circuitName,country,location,lat,lng,avgPoints,totalPoints,avgFinish,medianFinish,bestFinishDriver,worstFinishDriver,raceCount,rounds,countryID,countryavgPoints,year
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,12.0,12,4.0,4.0,Sebastian Vettel,Sebastian Vettel,1,4,36,12.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,12.0,12,4.0,4.0,Sebastian Vettel,Sebastian Vettel,1,5,36,12.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Sebastian Vettel,Sebastian Vettel,1,6,36,18.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Sebastian Vettel,Sebastian Vettel,1,7,36,25.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,10.0,10,5.0,5.0,Sebastian Vettel,Sebastian Vettel,1,8,36,10.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Sebastian Vettel,Sebastian Vettel,1,9,36,15.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Sebastian Vettel,Sebastian Vettel,1,10,36,25.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,0.0,0,21.0,21.0,Sebastian Vettel,Sebastian Vettel,1,11,36,0.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Sebastian Vettel,Sebastian Vettel,1,12,36,18.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Sebastian Vettel,Sebastian Vettel,1,13,36,25.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,12.0,12,4.0,4.0,Sebastian Vettel,Sebastian Vettel,1,14,36,12.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Sebastian Vettel,Sebastian Vettel,1,15,36,15.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Sebastian Vettel,Sebastian Vettel,1,16,36,15.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,8.0,8,6.0,6.0,Sebastian Vettel,Sebastian Vettel,1,17,36,8.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,12.0,12,4.0,4.0,Sebastian Vettel,Sebastian Vettel,1,18,36,12.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Sebastian Vettel,Sebastian Vettel,1,19,36,18.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,8.0,8,6.0,6.0,Sebastian Vettel,Sebastian Vettel,1,20,36,8.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Sebastian Vettel,Sebastian Vettel,1,21,36,18.0,2018
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26.0,26,1.0,1.0,Valtteri Bottas,Valtteri Bottas,1,1,36,26.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Valtteri Bottas,Valtteri Bottas,1,2,36,18.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Valtteri Bottas,Valtteri Bottas,1,3,36,18.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Valtteri Bottas,Valtteri Bottas,1,4,36,25.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Valtteri Bottas,Valtteri Bottas,1,5,36,18.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Valtteri Bottas,Valtteri Bottas,1,6,36,15.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,13.0,13,4.0,4.0,Valtteri Bottas,Valtteri Bottas,1,7,36,13.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Valtteri Bottas,Valtteri Bottas,1,8,36,18.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Valtteri Bottas,Valtteri Bottas,1,9,36,15.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Valtteri Bottas,Valtteri Bottas,1,10,36,18.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,0.0,0,21.0,21.0,Valtteri Bottas,Valtteri Bottas,1,11,36,0.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,4.0,4,8.0,8.0,Valtteri Bottas,Valtteri Bottas,1,12,36,4.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Valtteri Bottas,Valtteri Bottas,1,13,36,15.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Valtteri Bottas,Valtteri Bottas,1,14,36,18.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,10.0,10,5.0,5.0,Valtteri Bottas,Valtteri Bottas,1,15,36,10.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Valtteri Bottas,Valtteri Bottas,1,16,36,18.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Valtteri Bottas,Valtteri Bottas,1,17,36,25.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Valtteri Bottas,Valtteri Bottas,1,18,36,15.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Valtteri Bottas,Valtteri Bottas,1,19,36,25.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,0.0,0,21.0,21.0,Valtteri Bottas,Valtteri Bottas,1,20,36,0.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,12.0,12,4.0,4.0,Valtteri Bottas,Valtteri Bottas,1,21,36,12.0,2019
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26.0,26,1.0,1.0,Charles Leclerc,Charles Leclerc,1,1,36,26.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,19.0,19,2.0,2.0,Charles Leclerc,Charles Leclerc,1,2,36,19.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26.0,26,1.0,1.0,Charles Leclerc,Charles Leclerc,1,3,36,26.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,8.0,8,6.0,6.0,Charles Leclerc,Charles Leclerc,1,4,36,8.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Charles Leclerc,Charles Leclerc,1,5,36,18.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,0.0,0,21.0,21.0,Charles Leclerc,Charles Leclerc,1,6,36,0.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,12.0,12,4.0,4.0,Charles Leclerc,Charles Leclerc,1,7,36,12.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,0.0,0,21.0,21.0,Charles Leclerc,Charles Leclerc,1,8,36,0.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,10.0,10,5.0,5.0,Charles Leclerc,Charles Leclerc,1,9,36,10.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,12.0,12,4.0,4.0,Charles Leclerc,Charles Leclerc,1,10,36,12.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Charles Leclerc,Charles Leclerc,1,11,36,25.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,0.0,0,21.0,21.0,Charles Leclerc,Charles Leclerc,1,12,36,0.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,8.0,8,6.0,6.0,Charles Leclerc,Charles Leclerc,1,13,36,8.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,8.0,8,6.0,6.0,Charles Leclerc,Charles Leclerc,1,14,36,8.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Charles Leclerc,Charles Leclerc,1,15,36,15.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Charles Leclerc,Charles Leclerc,1,16,36,18.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Charles Leclerc,Charles Leclerc,1,17,36,18.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Charles Leclerc,Charles Leclerc,1,18,36,15.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Charles Leclerc,Charles Leclerc,1,19,36,15.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,8.0,8,6.0,6.0,Charles Leclerc,Charles Leclerc,1,20,36,8.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,12.0,12,4.0,4.0,Charles Leclerc,Charles Leclerc,1,21,36,12.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Charles Leclerc,Charles Leclerc,1,22,36,18.0,2022
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Max Verstappen,Max Verstappen,1,1,36,25.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,19.0,19,2.0,2.0,Max Verstappen,Max Verstappen,1,2,36,19.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Max Verstappen,Max Verstappen,1,3,36,25.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Max Verstappen,Max Verstappen,1,4,36,18.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26.0,26,1.0,1.0,Max Verstappen,Max Verstappen,1,5,36,26.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Max Verstappen,Max Verstappen,1,6,36,25.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26.0,26,1.0,1.0,Max Verstappen,Max Verstappen,1,7,36,26.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Max Verstappen,Max Verstappen,1,8,36,25.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26.0,26,1.0,1.0,Max Verstappen,Max Verstappen,1,9,36,26.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26.0,26,1.0,1.0,Max Verstappen,Max Verstappen,1,10,36,26.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26.0,26,1.0,1.0,Max Verstappen,Max Verstappen,1,11,36,26.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Max Verstappen,Max Verstappen,1,12,36,25.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Max Verstappen,Max Verstappen,1,13,36,25.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Max Verstappen,Max Verstappen,1,14,36,25.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,10.0,10,5.0,5.0,Max Verstappen,Max Verstappen,1,15,36,10.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26.0,26,1.0,1.0,Max Verstappen,Max Verstappen,1,16,36,26.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26.0,26,1.0,1.0,Max Verstappen,Max Verstappen,1,17,36,26.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Max Verstappen,Max Verstappen,1,18,36,25.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Max Verstappen,Max Verstappen,1,19,36,25.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Max Verstappen,Max Verstappen,1,20,36,25.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Max Verstappen,Max Verstappen,1,21,36,25.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26.0,26,1.0,1.0,Max Verstappen,Max Verstappen,1,22,36,26.0,2023
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Carlos Sainz,Carlos Sainz,1,1,36,15.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Carlos Sainz,Carlos Sainz,1,3,36,25.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Carlos Sainz,Carlos Sainz,1,4,36,15.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,10.0,10,5.0,5.0,Carlos Sainz,Carlos Sainz,1,5,36,10.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,10.0,10,5.0,5.0,Carlos Sainz,Carlos Sainz,1,6,36,10.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,10.0,10,5.0,5.0,Carlos Sainz,Carlos Sainz,1,7,36,10.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Carlos Sainz,Carlos Sainz,1,8,36,15.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,0.0,0,21.0,21.0,Carlos Sainz,Carlos Sainz,1,9,36,0.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,8.0,8,6.0,6.0,Carlos Sainz,Carlos Sainz,1,10,36,8.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Carlos Sainz,Carlos Sainz,1,11,36,15.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,11.0,11,5.0,5.0,Carlos Sainz,Carlos Sainz,1,12,36,11.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,8.0,8,6.0,6.0,Carlos Sainz,Carlos Sainz,1,13,36,8.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,8.0,8,6.0,6.0,Carlos Sainz,Carlos Sainz,1,14,36,8.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,10.0,10,5.0,5.0,Carlos Sainz,Carlos Sainz,1,15,36,10.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,12.0,12,4.0,4.0,Carlos Sainz,Carlos Sainz,1,16,36,12.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,0.0,0,18.0,18.0,Carlos Sainz,Carlos Sainz,1,17,36,0.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,6.0,6,7.0,7.0,Carlos Sainz,Carlos Sainz,1,18,36,6.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Carlos Sainz,Carlos Sainz,1,19,36,18.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25.0,25,1.0,1.0,Carlos Sainz,Carlos Sainz,1,20,36,25.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,0.0,0,21.0,21.0,Carlos Sainz,Carlos Sainz,1,21,36,0.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,15.0,15,3.0,3.0,Carlos Sainz,Carlos Sainz,1,22,36,15.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,8.0,8,6.0,6.0,Carlos Sainz,Carlos Sainz,1,23,36,8.0,2024
Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,18.0,18,2.0,2.0,Carlos Sainz,Carlos Sainz,1,24,36,18.0,2024
