season,circuitName,country,location,lat,lng,avgPoints,totalPoints,avgFinish,medianFinish,bestFinishDriver,worstFinishDriver,raceCount,rounds,countryavgPoints,countryID
All (2018-2024),Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,18.4,92,2.6,2,"1, (2018 Sebastian Vettel, 2023 Max Verstappen)","5, (2024 Carlos Sainz)",5,"Round 10 - 2018-2019, 2022-2023, Round 12 - 2024",18.4,826
All (2018-2024),Sochi Autodrom,Russia,Sochi,43.4057,39.9578,16.5,33,2.5,2.5,"2, (2019 Valtteri Bottas)","3, (2018 Sebastian Vettel)",2,Round 16 - 2018-2019,16.5,643
All (2018-2024),Suzuka Circuit,Japan,Suzuka,34.8431,136.541,17.8,89,2.8,3,"1, (2019 Valtteri Bottas, 2023 Max Verstappen)","6, (2018 Sebastian Vettel)",5,"Round 4 - 2024, Round 16 - 2023, Round 17 - 2018-2019, Round 18 - 2022",17.8,392
All (2018-2024),Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,18.4,92,2.2,2,"1, (2023 Max Verstappen)","4, (2019 Valtteri Bottas)",5,"Round 21 - 2018-2019, Round 22 - 2022-2023, Round 24 - 2024",18.4,784
2018,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25,25,1,1,1 (Sebastian Vettel),1 (Sebastian Vettel),1,Round 1,25,036
2018,Autodromo Hermanos Rodriguez,Mexico,Mexico City,19.4042,-99.0907,18,18,2,2,2 (Sebastian Vettel),2 (Sebastian Vettel),1,Round 19,18,484
2018,Autodromo Jose Carlos Pace,Brazil,Sao Paulo,-23.7036,-46.6997,8,8,6,6,6 (Sebastian Vettel),6 (Sebastian Vettel),1,Round 20,8,076
2018,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,12,12,4,4,4 (Sebastian Vettel),4 (Sebastian Vettel),1,Round 14,12,380
2018,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,25,25,1,1,1 (Sebastian Vettel),1 (Sebastian Vettel),1,Round 2,25,048
2018,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,12,12,4,4,4 (Sebastian Vettel),4 (Sebastian Vettel),1,Round 4,12,031
2018,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,25,25,1,1,1 (Sebastian Vettel),1 (Sebastian Vettel),1,Round 7,25,124
2018,Circuit Paul Ricard,France,Le Castellet,43.2506,5.79167,10,10,5,5,5 (Sebastian Vettel),5 (Sebastian Vettel),1,Round 8,10,250
2018,Circuit de Barcelona-Catalunya,Spain,Montmelo,41.57,2.26111,12,12,4,4,4 (Sebastian Vettel),4 (Sebastian Vettel),1,Round 5,12,724
2018,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,18,18,2,2,2 (Sebastian Vettel),2 (Sebastian Vettel),1,Round 6,18,492
2018,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139,25,25,1,1,1 (Sebastian Vettel),1 (Sebastian Vettel),1,Round 13,25,056
2018,Circuit of the Americas,USA,Austin,30.1328,-97.6411,12,12,4,4,4 (Sebastian Vettel),4 (Sebastian Vettel),1,Round 18,12,840
2018,Hockenheimring,Germany,Hockenheim,49.3278,8.56583,0,0,18,18,18 (Sebastian Vettel),18 (Sebastian Vettel),1,Round 11,0,276
2018,Hungaroring,Hungary,Budapest,47.5789,19.2486,18,18,2,2,2 (Sebastian Vettel),2 (Sebastian Vettel),1,Round 12,18,348
2018,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864,15,15,3,3,3 (Sebastian Vettel),3 (Sebastian Vettel),1,Round 15,15,702
2018,Red Bull Ring,Austria,Spielberg,47.2197,14.7647,15,15,3,3,3 (Sebastian Vettel),3 (Sebastian Vettel),1,Round 9,15,040
2018,Shanghai International Circuit,China,Shanghai,31.3389,121.22,4,4,8,8,8 (Sebastian Vettel),8 (Sebastian Vettel),1,Round 3,4,156
2018,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,25,25,1,1,1 (Sebastian Vettel),1 (Sebastian Vettel),1,Round 10,25,826
2018,Sochi Autodrom,Russia,Sochi,43.4057,39.9578,15,15,3,3,3 (Sebastian Vettel),3 (Sebastian Vettel),1,Round 16,15,643
2018,Suzuka Circuit,Japan,Suzuka,34.8431,136.541,8,8,6,6,6 (Sebastian Vettel),6 (Sebastian Vettel),1,Round 17,8,392
2018,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,18,18,2,2,2 (Sebastian Vettel),2 (Sebastian Vettel),1,Round 21,18,784
2019,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26,26,1,1,1 (Valtteri Bottas),1 (Valtteri Bottas),1,Round 1,26,036
2019,Autodromo Hermanos Rodriguez,Mexico,Mexico City,19.4042,-99.0907,15,15,3,3,3 (Valtteri Bottas),3 (Valtteri Bottas),1,Round 18,15,484
2019,Autodromo Jose Carlos Pace,Brazil,Sao Paulo,-23.7036,-46.6997,0,0,20,20,20 (Valtteri Bottas),20 (Valtteri Bottas),1,Round 20,0,076
2019,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,18,18,2,2,2 (Valtteri Bottas),2 (Valtteri Bottas),1,Round 14,18,380
2019,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,18,18,2,2,2 (Valtteri Bottas),2 (Valtteri Bottas),1,Round 2,18,048
2019,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,25,25,1,1,1 (Valtteri Bottas),1 (Valtteri Bottas),1,Round 4,25,031
2019,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,13,13,4,4,4 (Valtteri Bottas),4 (Valtteri Bottas),1,Round 7,13,124
2019,Circuit Paul Ricard,France,Le Castellet,43.2506,5.79167,18,18,2,2,2 (Valtteri Bottas),2 (Valtteri Bottas),1,Round 8,18,250
2019,Circuit de Barcelona-Catalunya,Spain,Montmelo,41.57,2.26111,18,18,2,2,2 (Valtteri Bottas),2 (Valtteri Bottas),1,Round 5,18,724
2019,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,15,15,3,3,3 (Valtteri Bottas),3 (Valtteri Bottas),1,Round 6,15,492
2019,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139,15,15,3,3,3 (Valtteri Bottas),3 (Valtteri Bottas),1,Round 13,15,056
2019,Circuit of the Americas,USA,Austin,30.1328,-97.6411,25,25,1,1,1 (Valtteri Bottas),1 (Valtteri Bottas),1,Round 19,25,840
2019,Hockenheimring,Germany,Hockenheim,49.3278,8.56583,0,0,15,15,15 (Valtteri Bottas),15 (Valtteri Bottas),1,Round 11,0,276
2019,Hungaroring,Hungary,Budapest,47.5789,19.2486,4,4,8,8,8 (Valtteri Bottas),8 (Valtteri Bottas),1,Round 12,4,348
2019,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864,10,10,5,5,5 (Valtteri Bottas),5 (Valtteri Bottas),1,Round 15,10,702
2019,Red Bull Ring,Austria,Spielberg,47.2197,14.7647,15,15,3,3,3 (Valtteri Bottas),3 (Valtteri Bottas),1,Round 9,15,040
2019,Shanghai International Circuit,China,Shanghai,31.3389,121.22,18,18,2,2,2 (Valtteri Bottas),2 (Valtteri Bottas),1,Round 3,18,156
2019,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,18,18,2,2,2 (Valtteri Bottas),2 (Valtteri Bottas),1,Round 10,18,826
2019,Sochi Autodrom,Russia,Sochi,43.4057,39.9578,18,18,2,2,2 (Valtteri Bottas),2 (Valtteri Bottas),1,Round 16,18,643
2019,Suzuka Circuit,Japan,Suzuka,34.8431,136.541,25,25,1,1,1 (Valtteri Bottas),1 (Valtteri Bottas),1,Round 17,25,392
2019,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,12,12,4,4,4 (Valtteri Bottas),4 (Valtteri Bottas),1,Round 21,12,784
2022,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,26,26,1,1,1 (Charles Leclerc),1 (Charles Leclerc),1,Round 3,26,036
2022,Autodromo Enzo e Dino Ferrari,Italy,Imola,44.3439,11.7167,8,8,6,6,6 (Charles Leclerc),6 (Charles Leclerc),1,Round 4,13,380
2022,Autodromo Hermanos Rodriguez,Mexico,Mexico City,19.4042,-99.0907,8,8,6,6,6 (Charles Leclerc),6 (Charles Leclerc),1,Round 20,8,484
2022,Autodromo Jose Carlos Pace,Brazil,Sao Paulo,-23.7036,-46.6997,12,12,4,4,4 (Charles Leclerc),4 (Charles Leclerc),1,Round 21,12,076
2022,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,18,18,2,2,2 (Charles Leclerc),2 (Charles Leclerc),1,Round 16,13,380
